"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51","Create roles - empty name field","QA|Nova Bank - Infopool","Wed Nov 19 18:48:36 UTC 2025","broken","Wed Nov 19 18:48:36 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","54","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Nov 19 18:48:32 UTC 2025","broken","Wed Nov 19 18:48:32 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","55","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Wed Nov 19 18:48:29 UTC 2025","broken","Wed Nov 19 18:48:29 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","55","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Nov 19 18:48:30 UTC 2025","broken","Wed Nov 19 18:48:30 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","74","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Nov 19 18:48:26 UTC 2025","broken","Wed Nov 19 18:48:26 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","55","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Wed Nov 19 18:48:31 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Create a new report","55","Create Report - Empty category","QA|Nova Bank - Infopool","Wed Nov 19 18:48:38 UTC 2025","broken","Wed Nov 19 18:48:38 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","63","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed Nov 19 18:48:35 UTC 2025","broken","Wed Nov 19 18:48:35 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","58","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Nov 19 18:48:31 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","54","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed Nov 19 18:48:31 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","55","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Wed Nov 19 18:48:34 UTC 2025","broken","Wed Nov 19 18:48:34 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","54","Update profile - Invalid file size","QA|Nova Bank - Infopool","Wed Nov 19 18:48:28 UTC 2025","broken","Wed Nov 19 18:48:28 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","56","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Wed Nov 19 18:48:38 UTC 2025","broken","Wed Nov 19 18:48:38 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","60","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed Nov 19 18:48:26 UTC 2025","broken","Wed Nov 19 18:48:26 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","50","Logout session - no session","QA|Nova Bank - Infopool","Wed Nov 19 18:48:37 UTC 2025","broken","Wed Nov 19 18:48:37 UTC 2025","v1 > Logout","Bank Admin","",""
"","54","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed Nov 19 18:48:32 UTC 2025","broken","Wed Nov 19 18:48:32 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","55","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Wed Nov 19 18:48:29 UTC 2025","broken","Wed Nov 19 18:48:29 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","50","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Wed Nov 19 18:48:34 UTC 2025","broken","Wed Nov 19 18:48:34 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","51","Update role status","QA|Nova Bank - Infopool","Wed Nov 19 18:48:36 UTC 2025","broken","Wed Nov 19 18:48:36 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","54","search Corporate Adjustment","QA|Nova Bank - Infopool","Wed Nov 19 18:48:39 UTC 2025","broken","Wed Nov 19 18:48:39 UTC 2025","","corporate Adjustment","",""
"","50","No auth - Update role status","QA|Nova Bank - Infopool","Wed Nov 19 18:48:36 UTC 2025","broken","Wed Nov 19 18:48:36 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
