"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
"","128","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 17:21:54 GMT 2025","passed","Fri May 30 17:21:54 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","89","Add Comment to Issue","QA|Nova Bank - Infopool","Fri May 30 17:21:55 GMT 2025","failed","Fri May 30 17:21:55 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","84","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri May 30 17:21:48 GMT 2025","passed","Fri May 30 17:21:48 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","85","Create organization - no name","QA|Nova Bank - Infopool","Fri May 30 17:22:03 GMT 2025","passed","Fri May 30 17:22:03 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","2336","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri May 30 17:21:58 GMT 2025","passed","Fri May 30 17:22:00 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","80","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:22:02 GMT 2025","failed","Fri May 30 17:22:02 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Create a new report","80","Create Report - Duplicate name","QA|Nova Bank - Infopool","Fri May 30 17:22:10 GMT 2025","failed","Fri May 30 17:22:10 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","115","Get Issue by ID","QA|Nova Bank - Infopool","Fri May 30 17:21:55 GMT 2025","passed","Fri May 30 17:21:55 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","101","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri May 30 17:21:55 GMT 2025","failed","Fri May 30 17:21:55 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","80","Get events - no auth","QA|Nova Bank - Infopool","Fri May 30 17:21:52 GMT 2025","passed","Fri May 30 17:21:52 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","94","Fetch all organizations","QA|Nova Bank - Infopool","Fri May 30 17:22:04 GMT 2025","passed","Fri May 30 17:22:04 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","80","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri May 30 17:21:56 GMT 2025","failed","Fri May 30 17:21:56 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","87","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri May 30 17:22:05 GMT 2025","passed","Fri May 30 17:22:05 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a specific report by ID","79","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Fri May 30 17:22:10 GMT 2025","failed","Fri May 30 17:22:10 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","91","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri May 30 17:22:06 GMT 2025","passed","Fri May 30 17:22:06 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","94","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri May 30 17:22:06 GMT 2025","passed","Fri May 30 17:22:06 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","79","Create roles - No auth","QA|Nova Bank - Infopool","Fri May 30 17:22:07 GMT 2025","passed","Fri May 30 17:22:07 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","87","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri May 30 17:21:51 GMT 2025","passed","Fri May 30 17:21:51 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","806","Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 17:21:53 GMT 2025","passed","Fri May 30 17:21:54 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 17:21:57 GMT 2025","failed","Fri May 30 17:21:57 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","81","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri May 30 17:22:00 GMT 2025","passed","Fri May 30 17:22:00 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","86","Empty new password - Change password","QA|Nova Bank - Infopool","Fri May 30 17:21:50 GMT 2025","passed","Fri May 30 17:21:50 GMT 2025","v1 > Profile > Password","Bank User","",""
"","78","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri May 30 17:22:04 GMT 2025","passed","Fri May 30 17:22:04 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","97","Get all Issues","QA|Nova Bank - Infopool","Fri May 30 17:21:55 GMT 2025","failed","Fri May 30 17:21:55 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","80","Create roles - empty name field","QA|Nova Bank - Infopool","Fri May 30 17:22:07 GMT 2025","failed","Fri May 30 17:22:07 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","137","Empty current password - Change password","QA|Nova Bank - Infopool","Fri May 30 17:21:50 GMT 2025","passed","Fri May 30 17:21:50 GMT 2025","v1 > Profile > Password","Bank User","",""
"","81","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 17:21:53 GMT 2025","passed","Fri May 30 17:21:53 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","93","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:22:02 GMT 2025","passed","Fri May 30 17:22:02 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a paginated list of reports with optional filtering","80","Get Reports Stats","QA|Nova Bank - Infopool","Fri May 30 17:22:09 GMT 2025","failed","Fri May 30 17:22:09 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","81","Add attachment to issue","QA|Nova Bank - Infopool","Fri May 30 17:21:55 GMT 2025","failed","Fri May 30 17:21:56 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","86","Update role status - role does not exist","QA|Nova Bank - Infopool","Fri May 30 17:22:07 GMT 2025","passed","Fri May 30 17:22:07 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","79","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri May 30 17:21:56 GMT 2025","passed","Fri May 30 17:21:56 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","86","No Auth - Update Issue","QA|Nova Bank - Infopool","Fri May 30 17:21:55 GMT 2025","passed","Fri May 30 17:21:55 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","85","No email - Forgot Password","QA|Nova Bank - Infopool","Fri May 30 17:21:48 GMT 2025","passed","Fri May 30 17:21:48 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","79","Get profile - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:21:51 GMT 2025","passed","Fri May 30 17:21:51 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","248","Change password - successful","QA|Nova Bank - Infopool","Fri May 30 17:21:50 GMT 2025","passed","Fri May 30 17:21:50 GMT 2025","v1 > Profile > Password","Bank User","",""
"Update an existing report","80","Update Report - No auth","QA|Nova Bank - Infopool","Fri May 30 17:22:10 GMT 2025","passed","Fri May 30 17:22:10 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","168","Invalid credentials","QA|Nova Bank - Infopool","Fri May 30 17:21:47 GMT 2025","passed","Fri May 30 17:21:47 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","87","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri May 30 17:21:48 GMT 2025","passed","Fri May 30 17:21:48 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get a specific report by ID","79","Get Report by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 17:22:09 GMT 2025","passed","Fri May 30 17:22:10 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","80","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri May 30 17:21:56 GMT 2025","failed","Fri May 30 17:21:57 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","82","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri May 30 17:22:00 GMT 2025","failed","Fri May 30 17:22:00 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","80","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri May 30 17:21:56 GMT 2025","failed","Fri May 30 17:21:56 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","87","Invalid email format","QA|Nova Bank - Infopool","Fri May 30 17:21:47 GMT 2025","passed","Fri May 30 17:21:48 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","109","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:21:48 GMT 2025","passed","Fri May 30 17:21:49 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
