"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","214","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sun Jun 08 21:05:46 GMT 2025","passed","Sun Jun 08 21:05:47 GMT 2025","","corporate Adjustment","",""
"","82","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jun 08 21:05:21 GMT 2025","passed","Sun Jun 08 21:05:21 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Create a new report","166","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Jun 08 21:05:35 GMT 2025","passed","Sun Jun 08 21:05:35 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","79","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Jun 08 21:05:23 GMT 2025","passed","Sun Jun 08 21:05:23 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","83","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:03:52 GMT 2025","passed","Sun Jun 08 21:03:52 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","154","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Jun 08 21:04:06 GMT 2025","failed","Sun Jun 08 21:04:06 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","80","Update definition","QA|Nova Bank - Infopool","Sun Jun 08 21:05:18 GMT 2025","passed","Sun Jun 08 21:05:18 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","80","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:05:18 GMT 2025","passed","Sun Jun 08 21:05:19 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","78","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Jun 08 21:05:21 GMT 2025","passed","Sun Jun 08 21:05:22 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","362","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:03:54 GMT 2025","failed","Sun Jun 08 21:03:55 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","79","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:05:23 GMT 2025","passed","Sun Jun 08 21:05:23 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","242","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:04:06 GMT 2025","passed","Sun Jun 08 21:04:06 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","107","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:03:41 GMT 2025","passed","Sun Jun 08 21:03:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","154","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:03:59 GMT 2025","failed","Sun Jun 08 21:04:00 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","78","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:05:19 GMT 2025","passed","Sun Jun 08 21:05:19 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","133","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:04:05 GMT 2025","passed","Sun Jun 08 21:04:06 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","82","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:04:05 GMT 2025","failed","Sun Jun 08 21:04:05 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","274","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 08 21:03:35 GMT 2025","passed","Sun Jun 08 21:03:35 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","81","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 21:05:17 GMT 2025","passed","Sun Jun 08 21:05:18 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","79","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:05:20 GMT 2025","passed","Sun Jun 08 21:05:20 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","76","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 21:05:24 GMT 2025","passed","Sun Jun 08 21:05:24 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","79","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Jun 08 21:05:22 GMT 2025","passed","Sun Jun 08 21:05:22 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","77","Create roles","QA|Nova Bank - Infopool","Sun Jun 08 21:05:23 GMT 2025","passed","Sun Jun 08 21:05:23 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"Delete a report (soft delete)","151","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:05:36 GMT 2025","passed","Sun Jun 08 21:05:36 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
