"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
"","41","No auth - managers","QA|Nova Bank - Infopool","Fri May 30 20:06:28 GMT 2025","passed","Fri May 30 20:06:28 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","41","Get roles - No Auth","QA|Nova Bank - Infopool","Fri May 30 20:06:28 GMT 2025","passed","Fri May 30 20:06:28 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","51","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri May 30 20:06:28 GMT 2025","passed","Fri May 30 20:06:28 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","46","Get Reports","QA|Nova Bank - Infopool","Fri May 30 20:06:29 GMT 2025","failed","Fri May 30 20:06:29 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","48","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 20:06:10 GMT 2025","passed","Fri May 30 20:06:10 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","51","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri May 30 20:06:26 GMT 2025","passed","Fri May 30 20:06:27 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","50","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri May 30 20:06:09 GMT 2025","passed","Fri May 30 20:06:09 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","335","reset password","QA|Nova Bank - Infopool","Fri May 30 20:06:09 GMT 2025","passed","Fri May 30 20:06:09 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","41","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri May 30 20:06:25 GMT 2025","failed","Fri May 30 20:06:25 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","80","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri May 30 20:06:27 GMT 2025","passed","Fri May 30 20:06:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","51","Empty new password - Change password","QA|Nova Bank - Infopool","Fri May 30 20:06:11 GMT 2025","passed","Fri May 30 20:06:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"","52","Update profile","QA|Nova Bank - Infopool","Fri May 30 20:06:11 GMT 2025","failed","Fri May 30 20:06:11 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","43","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri May 30 20:06:27 GMT 2025","passed","Fri May 30 20:06:27 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","116","Get events - invalid start date","QA|Nova Bank - Infopool","Fri May 30 20:06:12 GMT 2025","passed","Fri May 30 20:06:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","42","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri May 30 20:06:14 GMT 2025","passed","Fri May 30 20:06:14 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","44","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 20:06:15 GMT 2025","failed","Fri May 30 20:06:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","51","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri May 30 20:06:27 GMT 2025","passed","Fri May 30 20:06:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","42","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri May 30 20:06:14 GMT 2025","passed","Fri May 30 20:06:14 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","2426","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri May 30 20:06:15 GMT 2025","passed","Fri May 30 20:06:18 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","43","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri May 30 20:06:25 GMT 2025","failed","Fri May 30 20:06:25 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","41","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri May 30 20:06:25 GMT 2025","passed","Fri May 30 20:06:25 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
