"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","130","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Nov 21 18:56:05 UTC 2025","broken","Fri Nov 21 18:56:05 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","129","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Nov 21 18:56:02 UTC 2025","broken","Fri Nov 21 18:56:03 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","141","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Fri Nov 21 18:56:13 UTC 2025","broken","Fri Nov 21 18:56:14 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","129","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Nov 21 18:56:08 UTC 2025","broken","Fri Nov 21 18:56:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","130","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Fri Nov 21 18:56:16 UTC 2025","broken","Fri Nov 21 18:56:16 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","127","Weak password - Change password","QA|Nova Bank - Infopool","Fri Nov 21 18:55:52 UTC 2025","broken","Fri Nov 21 18:55:53 UTC 2025","v1 > Profile > Password","Bank User","",""
"","125","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Nov 21 18:56:12 UTC 2025","broken","Fri Nov 21 18:56:12 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","126","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Nov 21 18:56:06 UTC 2025","broken","Fri Nov 21 18:56:07 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","158","Create a New Issue","QA|Nova Bank - Infopool","Fri Nov 21 18:55:56 UTC 2025","broken","Fri Nov 21 18:55:57 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a paginated list of reports with optional filtering","125","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Fri Nov 21 18:56:15 UTC 2025","broken","Fri Nov 21 18:56:16 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","131","Empty new password - Change password","QA|Nova Bank - Infopool","Fri Nov 21 18:55:53 UTC 2025","broken","Fri Nov 21 18:55:53 UTC 2025","v1 > Profile > Password","Bank User","",""
"","145","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Nov 21 18:56:06 UTC 2025","broken","Fri Nov 21 18:56:06 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","124","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Nov 21 18:56:04 UTC 2025","broken","Fri Nov 21 18:56:05 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","134","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Nov 21 18:56:00 UTC 2025","broken","Fri Nov 21 18:56:00 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
