"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Update an existing report","66","Update Report - No auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:30 UTC 2025","broken","Wed Dec 03 18:53:30 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","68","audit trail - No Auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:18 UTC 2025","broken","Wed Dec 03 18:53:18 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","66","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Dec 03 18:53:20 UTC 2025","broken","Wed Dec 03 18:53:20 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","74","Weak password - Change password","QA|Nova Bank - Infopool","Wed Dec 03 18:53:17 UTC 2025","broken","Wed Dec 03 18:53:17 UTC 2025","v1 > Profile > Password","Bank User","",""
"","69","Get events - successful","QA|Nova Bank - Infopool","Wed Dec 03 18:53:18 UTC 2025","broken","Wed Dec 03 18:53:18 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","62","Create roles - No auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:28 UTC 2025","broken","Wed Dec 03 18:53:28 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","65","Get events - no auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:18 UTC 2025","broken","Wed Dec 03 18:53:18 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","66","Logout session - no session","QA|Nova Bank - Infopool","Wed Dec 03 18:53:29 UTC 2025","broken","Wed Dec 03 18:53:29 UTC 2025","v1 > Logout","Bank Admin","",""
"","62","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed Dec 03 18:53:22 UTC 2025","broken","Wed Dec 03 18:53:22 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","67","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:27 UTC 2025","broken","Wed Dec 03 18:53:27 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","62","Get role by ID - successful","QA|Nova Bank - Infopool","Wed Dec 03 18:53:28 UTC 2025","broken","Wed Dec 03 18:53:28 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","69","Get all Issues","QA|Nova Bank - Infopool","Wed Dec 03 18:53:19 UTC 2025","broken","Wed Dec 03 18:53:20 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","62","Add user to an organization - no auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:27 UTC 2025","broken","Wed Dec 03 18:53:27 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","70","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Wed Dec 03 18:53:31 UTC 2025","broken","Wed Dec 03 18:53:31 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","66","Update user - no auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:24 UTC 2025","broken","Wed Dec 03 18:53:24 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","64","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:22 UTC 2025","broken","Wed Dec 03 18:53:22 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","66","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed Dec 03 18:53:27 UTC 2025","broken","Wed Dec 03 18:53:27 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","61","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed Dec 03 18:53:28 UTC 2025","broken","Wed Dec 03 18:53:28 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","71","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Dec 03 18:53:22 UTC 2025","broken","Wed Dec 03 18:53:22 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","133","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Dec 03 18:53:21 UTC 2025","broken","Wed Dec 03 18:53:21 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","71","Get profile roles - successful","QA|Nova Bank - Infopool","Wed Dec 03 18:53:16 UTC 2025","broken","Wed Dec 03 18:53:16 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","65","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed Dec 03 18:53:22 UTC 2025","broken","Wed Dec 03 18:53:22 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","66","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Wed Dec 03 18:53:28 UTC 2025","broken","Wed Dec 03 18:53:28 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","65","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed Dec 03 18:53:20 UTC 2025","broken","Wed Dec 03 18:53:20 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Get a specific report by ID","65","Get Report by ID","QA|Nova Bank - Infopool","Wed Dec 03 18:53:29 UTC 2025","broken","Wed Dec 03 18:53:29 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","83","No email - Forgot Password","QA|Nova Bank - Infopool","Wed Dec 03 18:53:15 UTC 2025","broken","Wed Dec 03 18:53:15 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Update an existing report","66","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed Dec 03 18:53:30 UTC 2025","broken","Wed Dec 03 18:53:30 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","66","No auth - update role","QA|Nova Bank - Infopool","Wed Dec 03 18:53:24 UTC 2025","broken","Wed Dec 03 18:53:25 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","98","Invalid current password - Change password","QA|Nova Bank - Infopool","Wed Dec 03 18:53:17 UTC 2025","broken","Wed Dec 03 18:53:17 UTC 2025","v1 > Profile > Password","Bank User","",""
"","66","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Dec 03 18:53:21 UTC 2025","broken","Wed Dec 03 18:53:21 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","65","Get Issue by ID","QA|Nova Bank - Infopool","Wed Dec 03 18:53:20 UTC 2025","broken","Wed Dec 03 18:53:20 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","67","Send user invitation token - successful","QA|Nova Bank - Infopool","Wed Dec 03 18:53:19 UTC 2025","broken","Wed Dec 03 18:53:19 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","63","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed Dec 03 18:53:19 UTC 2025","broken","Wed Dec 03 18:53:19 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","68","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Wed Dec 03 18:53:26 UTC 2025","broken","Wed Dec 03 18:53:26 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","73","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Dec 03 18:53:16 UTC 2025","broken","Wed Dec 03 18:53:16 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","61","No Auth - Get all definitions","QA|Nova Bank - Infopool","Wed Dec 03 18:53:23 UTC 2025","broken","Wed Dec 03 18:53:23 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","64","get all category","QA|Nova Bank - Infopool","Wed Dec 03 18:53:28 UTC 2025","broken","Wed Dec 03 18:53:29 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","66","No Auth - Update definition","QA|Nova Bank - Infopool","Wed Dec 03 18:53:23 UTC 2025","broken","Wed Dec 03 18:53:23 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","66","Get all definitions","QA|Nova Bank - Infopool","Wed Dec 03 18:53:23 UTC 2025","broken","Wed Dec 03 18:53:23 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","69","Create  organization","QA|Nova Bank - Infopool","Wed Dec 03 18:53:25 UTC 2025","broken","Wed Dec 03 18:53:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","66","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Wed Dec 03 18:53:26 UTC 2025","broken","Wed Dec 03 18:53:26 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","65","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Wed Dec 03 18:53:31 UTC 2025","broken","Wed Dec 03 18:53:31 UTC 2025","","corporate Adjustment","",""
"Get a paginated list of reports with optional filtering","71","Get Reports","QA|Nova Bank - Infopool","Wed Dec 03 18:53:29 UTC 2025","broken","Wed Dec 03 18:53:29 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","62","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed Dec 03 18:53:27 UTC 2025","broken","Wed Dec 03 18:53:27 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","62","Update user - invalid action","QA|Nova Bank - Infopool","Wed Dec 03 18:53:24 UTC 2025","broken","Wed Dec 03 18:53:24 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","66","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Wed Dec 03 18:53:24 UTC 2025","broken","Wed Dec 03 18:53:24 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Create a new report","66","Create Report","QA|Nova Bank - Infopool","Wed Dec 03 18:53:30 UTC 2025","broken","Wed Dec 03 18:53:30 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","68","audit trail","QA|Nova Bank - Infopool","Wed Dec 03 18:53:18 UTC 2025","broken","Wed Dec 03 18:53:18 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","83","No user credentials","QA|Nova Bank - Infopool","Wed Dec 03 18:53:15 UTC 2025","broken","Wed Dec 03 18:53:15 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"Delete a report (soft delete)","64","Delete Report -No auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:30 UTC 2025","broken","Wed Dec 03 18:53:30 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","65","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Dec 03 18:53:27 UTC 2025","broken","Wed Dec 03 18:53:27 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","63","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Wed Dec 03 18:53:18 UTC 2025","broken","Wed Dec 03 18:53:18 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","68","Create roles","QA|Nova Bank - Infopool","Wed Dec 03 18:53:27 UTC 2025","broken","Wed Dec 03 18:53:28 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","72","No Auth - Change password","QA|Nova Bank - Infopool","Wed Dec 03 18:53:17 UTC 2025","broken","Wed Dec 03 18:53:17 UTC 2025","v1 > Profile > Password","Bank User","",""
"","67","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed Dec 03 18:53:23 UTC 2025","broken","Wed Dec 03 18:53:23 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","63","Empty fields - Update definition","QA|Nova Bank - Infopool","Wed Dec 03 18:53:23 UTC 2025","broken","Wed Dec 03 18:53:23 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","66","add_comment_successfully","QA|Nova Bank - Infopool","Wed Dec 03 18:53:21 UTC 2025","broken","Wed Dec 03 18:53:21 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","59","audit-search","QA|Nova Bank - Infopool","Wed Dec 03 18:53:18 UTC 2025","broken","Wed Dec 03 18:53:19 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get a specific report by ID","75","Get Report by UUID","QA|Nova Bank - Infopool","Wed Dec 03 18:53:30 UTC 2025","broken","Wed Dec 03 18:53:30 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","67","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:29 UTC 2025","broken","Wed Dec 03 18:53:29 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","68","Create_issue_without_attachment","QA|Nova Bank - Infopool","Wed Dec 03 18:53:19 UTC 2025","broken","Wed Dec 03 18:53:19 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","66","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Wed Dec 03 18:53:19 UTC 2025","broken","Wed Dec 03 18:53:19 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","66","category by id","QA|Nova Bank - Infopool","Wed Dec 03 18:53:29 UTC 2025","broken","Wed Dec 03 18:53:29 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","67","No auth - get user role","QA|Nova Bank - Infopool","Wed Dec 03 18:53:24 UTC 2025","broken","Wed Dec 03 18:53:24 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","68","Create organization - name already exists","QA|Nova Bank - Infopool","Wed Dec 03 18:53:25 UTC 2025","broken","Wed Dec 03 18:53:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","60","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Dec 03 18:53:21 UTC 2025","broken","Wed Dec 03 18:53:21 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","66","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed Dec 03 18:53:20 UTC 2025","broken","Wed Dec 03 18:53:20 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Dec 03 18:53:16 UTC 2025","broken","Wed Dec 03 18:53:16 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","63","Get Report Data - No auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:31 UTC 2025","broken","Wed Dec 03 18:53:31 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","91","Invalid email format","QA|Nova Bank - Infopool","Wed Dec 03 18:53:15 UTC 2025","broken","Wed Dec 03 18:53:15 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","67","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Wed Dec 03 18:53:21 UTC 2025","broken","Wed Dec 03 18:53:21 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","132","Update profile - successful","QA|Nova Bank - Infopool","Wed Dec 03 18:53:17 UTC 2025","broken","Wed Dec 03 18:53:17 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","66","successful dashboard embed","QA|Nova Bank - Infopool","Wed Dec 03 18:53:23 UTC 2025","broken","Wed Dec 03 18:53:23 UTC 2025","embed dashboard","Bank User","",""
"","64","get user role","QA|Nova Bank - Infopool","Wed Dec 03 18:53:24 UTC 2025","broken","Wed Dec 03 18:53:24 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","66","Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed Dec 03 18:53:22 UTC 2025","broken","Wed Dec 03 18:53:22 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Create a new report","66","Create Report - Empty category","QA|Nova Bank - Infopool","Wed Dec 03 18:53:30 UTC 2025","broken","Wed Dec 03 18:53:30 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"Update an existing report","60","Update Report","QA|Nova Bank - Infopool","Wed Dec 03 18:53:30 UTC 2025","broken","Wed Dec 03 18:53:30 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","64","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Wed Dec 03 18:53:29 UTC 2025","broken","Wed Dec 03 18:53:29 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","64","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed Dec 03 18:53:18 UTC 2025","broken","Wed Dec 03 18:53:18 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","63","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed Dec 03 18:53:21 UTC 2025","broken","Wed Dec 03 18:53:21 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","65","No auth - get all category","QA|Nova Bank - Infopool","Wed Dec 03 18:53:29 UTC 2025","broken","Wed Dec 03 18:53:29 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","66","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed Dec 03 18:53:25 UTC 2025","broken","Wed Dec 03 18:53:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","66","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Wed Dec 03 18:53:25 UTC 2025","broken","Wed Dec 03 18:53:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","66","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Dec 03 18:53:23 UTC 2025","broken","Wed Dec 03 18:53:23 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","66","No auth - managers","QA|Nova Bank - Infopool","Wed Dec 03 18:53:27 UTC 2025","broken","Wed Dec 03 18:53:27 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","113","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Wed Dec 03 18:53:31 UTC 2025","broken","Wed Dec 03 18:53:31 UTC 2025","","corporate Adjustment","",""
"","68","Search Customers","QA|Nova Bank - Infopool","Wed Dec 03 18:53:21 UTC 2025","broken","Wed Dec 03 18:53:21 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","68","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Wed Dec 03 18:53:19 UTC 2025","broken","Wed Dec 03 18:53:19 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","62","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Wed Dec 03 18:53:19 UTC 2025","broken","Wed Dec 03 18:53:19 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","68","Update user - empty action field","QA|Nova Bank - Infopool","Wed Dec 03 18:53:24 UTC 2025","broken","Wed Dec 03 18:53:24 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","103","Forgot password - successful","QA|Nova Bank - Infopool","Wed Dec 03 18:53:15 UTC 2025","broken","Wed Dec 03 18:53:15 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","66","Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Dec 03 18:53:27 UTC 2025","broken","Wed Dec 03 18:53:27 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","74","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Dec 03 18:53:16 UTC 2025","broken","Wed Dec 03 18:53:16 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","79","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Dec 03 18:53:16 UTC 2025","broken","Wed Dec 03 18:53:16 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","65","resend_invitation_toUser","QA|Nova Bank - Infopool","Wed Dec 03 18:53:19 UTC 2025","broken","Wed Dec 03 18:53:19 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","68","Get Report Data - Question","QA|Nova Bank - Infopool","Wed Dec 03 18:53:31 UTC 2025","broken","Wed Dec 03 18:53:31 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","108","No auth - Create a New Issue","QA|Nova Bank - Infopool","Wed Dec 03 18:53:19 UTC 2025","broken","Wed Dec 03 18:53:19 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","71","Get profile roles - No Auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:17 UTC 2025","broken","Wed Dec 03 18:53:17 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","65","Create roles - empty name field","QA|Nova Bank - Infopool","Wed Dec 03 18:53:28 UTC 2025","broken","Wed Dec 03 18:53:28 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","73","Update definition","QA|Nova Bank - Infopool","Wed Dec 03 18:53:23 UTC 2025","broken","Wed Dec 03 18:53:23 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","65","Get role by ID - no auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:28 UTC 2025","broken","Wed Dec 03 18:53:28 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","66","Update role status","QA|Nova Bank - Infopool","Wed Dec 03 18:53:28 UTC 2025","broken","Wed Dec 03 18:53:28 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","94","reset password","QA|Nova Bank - Infopool","Wed Dec 03 18:53:16 UTC 2025","broken","Wed Dec 03 18:53:16 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","66","Fetch user by ID - successful","QA|Nova Bank - Infopool","Wed Dec 03 18:53:23 UTC 2025","broken","Wed Dec 03 18:53:23 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","67","Get events - invalid start date","QA|Nova Bank - Infopool","Wed Dec 03 18:53:18 UTC 2025","broken","Wed Dec 03 18:53:18 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","67","Update user - successful","QA|Nova Bank - Infopool","Wed Dec 03 18:53:24 UTC 2025","broken","Wed Dec 03 18:53:24 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","61","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Wed Dec 03 18:53:22 UTC 2025","broken","Wed Dec 03 18:53:22 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","62","Update Customer Comment","QA|Nova Bank - Infopool","Wed Dec 03 18:53:21 UTC 2025","broken","Wed Dec 03 18:53:21 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get a specific report by ID","68","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Wed Dec 03 18:53:30 UTC 2025","broken","Wed Dec 03 18:53:30 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","61","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed Dec 03 18:53:24 UTC 2025","broken","Wed Dec 03 18:53:24 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","66","Get permission by ID - No auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:28 UTC 2025","broken","Wed Dec 03 18:53:28 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","67","search Corporate Adjustment","QA|Nova Bank - Infopool","Wed Dec 03 18:53:31 UTC 2025","broken","Wed Dec 03 18:53:31 UTC 2025","","corporate Adjustment","",""
"","67","Update organization details by ID - successful","QA|Nova Bank - Infopool","Wed Dec 03 18:53:26 UTC 2025","broken","Wed Dec 03 18:53:26 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
